reference_id	reference_sequence_sha256	stored_taxid	header_class	header_order	header_family	bacterial_control_accession	bacterial_pident	bacterial_alignment_length	bacterial_shorter_sequence_coverage	cross_family_reference_id	cross_family_reference_taxid	cross_family_reference_class	cross_family_reference_order	cross_family_reference_family	cross_family_pident	cross_family_alignment_length	cross_family_shorter_sequence_coverage	component_id	component_size	component_family_count	disposition	notes
BOLD_COI-5P_GMODL3842-22	11a02d98252a48e310767bed4eff8da6ef8f2e4548d769b8fb7e319be14710cc	30092	Insecta	Hemiptera	Psyllidae	MG988837.1	94.013	451	95.957									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_JMAAC023-10	21d8995ded49810a5171890cf4f69da656886db62a353151b279acc643e6aef0	27482	Insecta	Hemiptera	Aphididae	MG988837.1	93.317	419	100.000									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_ASQIC504-09	a071b285b2a4ce552d55e719340b935128448d624ae78266c6c9922c5e2d26a1	65272	Insecta	Hymenoptera	Ichneumonidae	MG988837.1	88.553	463	98.511	BOLD_COI-5P_BCHYM14955-16	405267	Insecta	Hymenoptera	Chalcididae	100.000	577	98.296	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_FHDER125-16	4661defbaede620b7b2cf1312aa5995447202009b661071ec9bd001a858ff38d	3039717	Insecta	Dermaptera	Forficulidae	MG988837.1	89.238	446	94.894	BOLD_COI-5P_KUGLA3039-22	81835	Arachnida	Araneae	Linyphiidae	96.779	652	100.000	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_BCHYM14932-16	4d767e104ac2bc15a9bc47a0a847b01232c5768dcc4143cce319106cabedd100	1119366	Insecta	Hymenoptera	Chalcididae	MG988837.1	88.521	453	96.383	BOLD_COI-5P_MYPOM562-20	88467	Insecta	Hymenoptera	Halictidae	99.848	658	100.000	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_BCHYM14955-16	3122b445ec0056431a13d70bf1256d6748b491e12d4ba1b4b7dabf01f406e04e	405267	Insecta	Hymenoptera	Chalcididae	MG988837.1	88.521	453	96.383	BOLD_COI-5P_MYPOM562-20	88467	Insecta	Hymenoptera	Halictidae	100.000	658	100.000	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_MYPOM562-20	3122b445ec0056431a13d70bf1256d6748b491e12d4ba1b4b7dabf01f406e04e	88467	Insecta	Hymenoptera	Halictidae	MG988837.1	88.521	453	96.383	BOLD_COI-5P_BCHYM14955-16	405267	Insecta	Hymenoptera	Chalcididae	100.000	658	100.000	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_CRCEC47168-22	a75eb61ed9d37f4630cb14662a7acd9b618ada8175b19c137057af0cb5698465	-9850	Insecta	Diptera	Phoridae	MG988837.1	88.641	449	95.532	BOLD_COI-5P_BCHYM14955-16	405267	Insecta	Hymenoptera	Chalcididae	99.847	653	100.000	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_KUGLA2446-22	724906830a323d7581cb6213b35c6f949b2cbcdeb2f0500012d3b68a8db36a3d	29026	Insecta	Coleoptera	Staphylinidae	MG988837.1	88.641	449	95.532	BOLD_COI-5P_BCHYM14962-16	1119410	Insecta	Hymenoptera	Chalcididae	96.006	651	100.000	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_NZHYM2541-15	21f15ecab3f3d5a5b860254832d8758033c293f54a1be1fcbbbc3d98191d0c01	55939	Insecta	Hymenoptera	Braconidae	MG988837.1	88.079	453	96.383	BOLD_COI-5P_BCHYM14955-16	405267	Insecta	Hymenoptera	Chalcididae	98.632	658	100.000	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_KUGLA3039-22	cd8e9e0432fb128942e07e1f13978ab1e89d78f7310464e9581598da2413fd71	81835	Arachnida	Araneae	Linyphiidae	MG988837.1	88.196	449	95.532	BOLD_COI-5P_BCHYM14955-16	405267	Insecta	Hymenoptera	Chalcididae	96.779	652	100.000	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_BCHYM14962-16	183d3d919384f7b811cb7917c70469611317d3e334d4cf4ed0f2963972b1cff0	1119410	Insecta	Hymenoptera	Chalcididae	MG988837.1	88.117	446	94.894	BOLD_COI-5P_MYPOM562-20	88467	Insecta	Hymenoptera	Halictidae	98.480	658	100.000	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_BCHYM14998-16	183d3d919384f7b811cb7917c70469611317d3e334d4cf4ed0f2963972b1cff0	272237	Insecta	Hymenoptera	Chalcididae	MG988837.1	88.117	446	94.894	BOLD_COI-5P_MYPOM562-20	88467	Insecta	Hymenoptera	Halictidae	98.480	658	100.000	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_GBA29544-17	58c7d5dfafcad8d19d59dffaf0b53ff0d56f5630098719ed61e43569273ff1a6	1717526	Insecta	Diptera	Mydidae	MG988837.1	87.638	453	96.383	BOLD_COI-5P_BCHYM14955-16	405267	Insecta	Hymenoptera	Chalcididae	97.568	658	100.000	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_KUGLA1303-22	85ee34a12d65987bc7f062acd39269accd599130ccf5c85a2044c0c0da5457f2	81835	Arachnida	Araneae	Linyphiidae	MG988837.1	87.696	447	95.106	BOLD_COI-5P_FHDER125-16	3039717	Insecta	Dermaptera	Forficulidae	95.859	652	100.000	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
PP136051_1	1337d8cb5c6e61de07931eca3c8631ef96710fd90b35bf5cbe7321f52d229605	2219560	Arachnida	Pseudoscorpiones	Neobisiidae	MG988837.1	88.544	419	89.149									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_MHMYM4251-14	c0a76bff087f9b3efc60fad6ba4eba13f18de2b594134cb6222c57f96fba8a5d	299348	Insecta	Lepidoptera	Pyralidae	MG988837.1	87.589	419	89.149	BOLD_COI-5P_ASQIC504-09	65272	Insecta	Hymenoptera	Ichneumonidae	99.263	543	92.504	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_MYPOM476-20	9c0059ac3188e8c5ba91f44b328a0565a51bae0c5613c99892b3e9f1bccba6e9	88467	Insecta	Hymenoptera	Halictidae	MG988837.1	87.059	425	90.426	BOLD_COI-5P_BCHYM14955-16	405267	Insecta	Hymenoptera	Chalcididae	98.730	630	99.684	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_CNCHA1255-11	752d135ce86e407fd62f66d91321b83b5f1ff991e70fe8540cceb74e0b586bd4	1511244	Insecta	Hemiptera	Pentatomidae	MG988837.1	85.268	448	95.319									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-5P_CNEIB017-12	331f48f47fc6021f4baff15cf818b662180fa7ea7c757ddf9de0ca3e5e879c55	232805	Insecta	Hymenoptera	Colletidae	MG988837.1	86.207	377	80.213	BOLD_COI-5P_ASQIC504-09	65272	Insecta	Hymenoptera	Ichneumonidae	97.217	503	86.130	cluster_138304716aca	16	11	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-5P_SPIZA784-21	17b8014e977b98323161db0ebc209c4dd99c9285d7ca3b3a69d564a8adb67aa8	575964	Arachnida	Araneae	Scytodidae	MG988837.1	89.970	329	100.000									singleton	1	1	unresolved_insufficient_local_discriminator	Meets bacterial-control discovery thresholds but lacks a >=95% cross-family local candidate match; external sequence search was not authorized
BOLD_COI-3P_GBMND5773-21	3724762ff7f96ecf1023370763e8a8c8de940b401c60c7d3bbac9a78f150eaef	491317	Insecta	Hemiptera	Cixiidae	OQ374915.1	90.612	490	82.353	BOLD_COI-3P_GBMHH21026-19	650448	Insecta	Hemiptera	Delphacidae	95.709	536	99.628	cluster_2b1a26946f8c	2	2	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
BOLD_COI-3P_GBMHH21026-19	8ebf55e72f9a60d5577172adad3d1ccead1f8666b9cb17cb083c5215e132746a	650448	Insecta	Hemiptera	Delphacidae	OQ374915.1	89.827	462	85.874	BOLD_COI-3P_GBMND5773-21	491317	Insecta	Hemiptera	Cixiidae	95.709	536	99.628	cluster_2b1a26946f8c	2	2	confirmed_cross_host_bacterial_like_reference_cluster	Full/near-full independently supported bacterial-control match plus a >=95% local match carrying a different host-family assignment
