query_id	source_accession	query_sequence_sha256	reference_id	stored_taxid	header_kingdom	header_lineage	reference_sequence_sha256	query_length	reference_length	pident	alignment_length	shorter_sequence_coverage	evalue	bitscore	discovery_tier	review_status
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_GBMHH30183-19	2218150	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Psyllidae;g__Telmapsylla;s__Telmapsylla_minuta	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	470	470	100.000	470	100.000	0.0	845	priority	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_GBMIN70259-17	1920869	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Triozidae;g__Bactericera;s__Bactericera_albiventris	df616be472b2d8d6e053bd1fd42a82cc60f3c9986325da64afe5800b254ee34b	470	472	97.021	470	100.000	0.0	786	priority	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_GMODL3842-22	30092	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Psyllidae;g__;s__	11a02d98252a48e310767bed4eff8da6ef8f2e4548d769b8fb7e319be14710cc	470	653	94.013	451	95.957	0.0	693	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_JMAAC023-10	27482	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae;g__;s__	21d8995ded49810a5171890cf4f69da656886db62a353151b279acc643e6aef0	470	419	93.317	419	100.000	2.88e-179	630	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_ASQIC504-09	65272	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Ichneumonidae;g__Lissonota;s__	a071b285b2a4ce552d55e719340b935128448d624ae78266c6c9922c5e2d26a1	470	587	88.553	463	98.511	1.70e-169	598	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_FHDER125-16	3039717	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Dermaptera;f__Forficulidae;g__Guanchia;s__Guanchia_hincksi	4661defbaede620b7b2cf1312aa5995447202009b661071ec9bd001a858ff38d	470	658	89.238	446	94.894	8.82e-167	590	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_BCHYM14932-16	1119366	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Chalcididae;g__Aspirrhina;s__	4d767e104ac2bc15a9bc47a0a847b01232c5768dcc4143cce319106cabedd100	470	658	88.521	453	96.383	3.75e-165	584	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_BCHYM14955-16	405267	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Chalcididae;g__Dirhinus;s__	3122b445ec0056431a13d70bf1256d6748b491e12d4ba1b4b7dabf01f406e04e	470	658	88.521	453	96.383	3.75e-165	584	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_MYPOM562-20	88467	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Halictidae;g__Lasioglossum;s__	3122b445ec0056431a13d70bf1256d6748b491e12d4ba1b4b7dabf01f406e04e	470	658	88.521	453	96.383	3.75e-165	584	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_CRCEC47168-22	-9850	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Phoridae;g__Trophithauma;s__Trophithauma_portentum	a75eb61ed9d37f4630cb14662a7acd9b618ada8175b19c137057af0cb5698465	470	653	88.641	449	95.532	1.31e-164	581	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_KUGLA2446-22	29026	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__;s__	724906830a323d7581cb6213b35c6f949b2cbcdeb2f0500012d3b68a8db36a3d	470	651	88.641	449	95.532	1.31e-164	581	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_NZHYM2541-15	55939	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Braconidae;g__Aleiodes;s__	21f15ecab3f3d5a5b860254832d8758033c293f54a1be1fcbbbc3d98191d0c01	470	658	88.079	453	96.383	1.94e-162	575	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_KUGLA3039-22	81835	Metazoa	k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Linyphiidae;g__;s__	cd8e9e0432fb128942e07e1f13978ab1e89d78f7310464e9581598da2413fd71	470	652	88.196	449	95.532	6.78e-162	572	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_BCHYM14962-16	1119410	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Chalcididae;g__Haltichella;s__	183d3d919384f7b811cb7917c70469611317d3e334d4cf4ed0f2963972b1cff0	470	658	88.117	446	94.894	2.88e-160	567	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_BCHYM14998-16	272237	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Chalcididae;g__Conura;s__	183d3d919384f7b811cb7917c70469611317d3e334d4cf4ed0f2963972b1cff0	470	658	88.117	446	94.894	2.88e-160	567	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_GBA29544-17	1717526	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mydidae;g__Apiophora;s__Apiophora_quadricinctata	58c7d5dfafcad8d19d59dffaf0b53ff0d56f5630098719ed61e43569273ff1a6	470	658	87.638	453	96.383	1.01e-159	566	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_KUGLA1303-22	81835	Metazoa	k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Linyphiidae;g__;s__	85ee34a12d65987bc7f062acd39269accd599130ccf5c85a2044c0c0da5457f2	470	652	87.696	447	95.106	5.21e-157	556	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	PP136051_1	2219560	Metazoa	k__Metazoa;p__Arthropoda;c__Arachnida;o__Pseudoscorpiones;f__Neobisiidae;g__Neobisium;s__Neobisium_carcinoides	1337d8cb5c6e61de07931eca3c8631ef96710fd90b35bf5cbe7321f52d229605	470	637	88.544	419	89.149	4.01e-152	540	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_MHMYM4251-14	299348	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Pyralidae;g__;s__	c0a76bff087f9b3efc60fad6ba4eba13f18de2b594134cb6222c57f96fba8a5d	470	652	87.589	419	89.149	8.83e-148	526	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_MYPOM476-20	88467	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Halictidae;g__Lasioglossum;s__	9c0059ac3188e8c5ba91f44b328a0565a51bae0c5613c99892b3e9f1bccba6e9	470	632	87.059	425	90.426	8.83e-148	526	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_CNCHA1255-11	1511244	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Pentatomidae;g__Picromerus;s__Picromerus_bidens	752d135ce86e407fd62f66d91321b83b5f1ff991e70fe8540cceb74e0b586bd4	470	658	85.268	448	95.319	1.95e-143	512	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_CNEIB017-12	232805	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Colletidae;g__Hylaeus;s__Hylaeus_modestus	331f48f47fc6021f4baff15cf818b662180fa7ea7c757ddf9de0ca3e5e879c55	470	584	86.207	377	80.213	1.31e-126	455	review	pending_adjudication
wolbachia_mg988837	MG988837.1	5dfaeafa6e8d0032d0ca81608ffd8da57ff37836460e2cc323d281535969205c	BOLD_COI-5P_SPIZA784-21	575964	Metazoa	k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Scytodidae;g__Scytodes;s__	17b8014e977b98323161db0ebc209c4dd99c9285d7ca3b3a69d564a8adb67aa8	470	329	89.970	329	100.000	2.37e-123	445	review	pending_adjudication
rickettsia_oq374915	OQ374915.1	0ea28ed6d70ccb6576a4e79dfe1f1be3fc345187e9f3319aa0cf9c6ab605187f	BOLD_COI-3P_GBMND5773-21	491317	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cixiidae;g__Haplaxius;s__Haplaxius_skarphion	3724762ff7f96ecf1023370763e8a8c8de940b401c60c7d3bbac9a78f150eaef	749	595	90.612	490	82.353	0.0	673	review	pending_adjudication
rickettsia_oq374915	OQ374915.1	0ea28ed6d70ccb6576a4e79dfe1f1be3fc345187e9f3319aa0cf9c6ab605187f	BOLD_COI-3P_GBMHH21026-19	650448	Metazoa	k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Delphacidae;g__Euides;s__Euides_speciosa	8ebf55e72f9a60d5577172adad3d1ccead1f8666b9cb17cb083c5215e132746a	749	538	89.827	462	85.874	1.04e-174	617	review	pending_adjudication
